gene_id,loading_comp1_rss,loading_comp2_rss,loading_max,top_time_feature
Nfu_g_1_007097,0.06258668257172834,0.028766397784312305,0.041063847922702526,w20
Nfu_g_1_010933,0.062290423338045756,0.00996165450622897,0.040083417280602024,delta20minus10
Nfu_g_1_001084,0.06141161708157188,0.020629571056249935,0.04103417012756053,delta20minus10
Nfu_g_1_022498,0.06119617821804049,0.023916320747053965,0.04155003950941203,w20
Nfu_g_1_017712,0.06046616333364681,0.03232704503734366,0.03900787712822469,w20
Nfu_g_1_010960,0.06042730747041618,0.03209978454296127,0.04027090670820762,w20
Nfu_g_1_016218,0.06040955411915666,0.0256901624590757,0.03987770467560436,w20
Nfu_g_1_000487,0.05858547561072137,0.03901998691263694,0.03960001341888287,w20
Nfu_g_1_013298,0.058548657165359556,0.011043709415593836,0.04085276057815336,w20
Nfu_g_1_023149,0.05846092408771126,0.009842258483965242,0.04026870972741024,w20
Nfu_g_1_021978,0.05831442780545994,0.02346134590657983,0.03996924678459864,w20
Nfu_g_1_000583,0.058210759777133685,0.01638475149603538,0.03937253432719417,w20
Nfu_g_1_006434,0.058153460029757874,0.04676037937499537,0.04156173282028322,w20
Nfu_g_1_023527,0.05796572888022216,0.03319544808488957,0.0372237309043485,delta20minus10
Nfu_g_1_013138,0.05796196134215562,0.0178134681468319,0.0374822473604866,delta20minus10
Nfu_g_1_010177,0.05789152598291691,0.023399800009604604,0.03662586321128699,delta20minus10
Nfu_g_1_018490,0.0576845490319041,0.010205112665808591,0.04030258877788551,w20
Nfu_g_1_024261,0.05755626272308052,0.030493238021751693,0.04207895862462919,w20
Nfu_g_1_007248,0.05743054351681025,0.022039945085571864,0.04069546804599079,w20
Nfu_g_1_001056,0.05712778693789893,0.017712100640871458,0.03694617974839664,delta20minus10
Nfu_g_1_006595,0.05688031191126716,0.01619121335058834,0.036590089364875615,delta20minus10
Nfu_g_1_008034,0.056847659742695456,0.02555536827605116,0.036987614120921934,delta20minus10
Nfu_g_1_015191,0.05666106412935197,0.0032278538242230363,0.036884203594222814,w20
Nfu_g_1_006328,0.05662998673963511,0.04089104961863602,0.03982873287873862,w20
Nfu_g_1_016971,0.05659868682821167,0.02576325064457532,0.03690216692744247,delta20minus10
Nfu_g_1_017770,0.05652323141793172,0.015044914134560421,0.03972523059192553,delta20minus10
Nfu_g_1_004388,0.056476140367387566,0.03480750971312448,0.04307435560492586,w20
Nfu_g_1_011166,0.05623287085403493,0.021659767911168512,0.036450621997318765,delta20minus10
Nfu_g_1_018199,0.05621482310246049,0.01473273247381641,0.038154021984793146,w20
Nfu_g_1_017258,0.05571563520078652,0.016184846820764837,0.03686293332931095,delta20minus10
Nfu_g_1_003403,0.05566114021422086,0.032525272983984437,0.037206294751245046,delta20minus10
Nfu_g_1_019542,0.055492574454942434,0.015469299553907646,0.03641302380113169,w20
Nfu_g_1_005331,0.05535854602255312,0.028005302245092383,0.035134756648514315,delta20minus10
Nfu_g_1_022528,0.055327587244136195,0.007375600629364235,0.03850220871988094,w20
Nfu_g_1_002509,0.05531961528887995,0.021739082142399904,0.03870712413170677,w20
Nfu_g_1_008150,0.05527205654755454,0.008529614520190418,0.03703074760909597,delta20minus10
Nfu_g_1_003006,0.0544448921226555,0.008187771632445238,0.03646504821097029,w20
Nfu_g_1_003840,0.05434837964867891,0.016478891815924948,0.037466379686651605,delta20minus10
Nfu_g_1_013048,0.054307473363459015,0.02407375170800742,0.03631631582028305,delta20minus10
Nfu_g_1_009023,0.05422094792753144,0.042453264958460614,0.03658721833953729,w20
Nfu_g_1_012132,0.05422009132497567,0.025075799977848996,0.04188248722491087,w20
Nfu_g_1_016492,0.05419743688037561,0.04124613456949156,0.03784907057957073,w20
Nfu_g_1_016257,0.05389174895693097,0.02585844687823119,0.03711913328422783,delta20minus10
Nfu_g_1_003631,0.0537422784793044,0.02171658369853513,0.03690313452379114,w20
Nfu_g_1_006202,0.05352786521539857,0.020472298127885345,0.038128426201526705,w20
Nfu_g_1_019448,0.05351760617321931,0.01644985311674016,0.03688259543536481,w20
Nfu_g_1_018339,0.05348962860924911,0.02762234061990562,0.03554907290137778,w10
Nfu_g_1_020720,0.05341024050763674,0.005582415034682553,0.038191743006993246,w20
Nfu_g_1_021079,0.053337464495529785,0.0379522718724974,0.035911092177579436,delta20minus10
Nfu_g_1_003683,0.05314086853984456,0.017528382301617816,0.035696797095502025,delta20minus10
Nfu_g_1_005432,0.05290008341441173,0.019649118462052913,0.0358635268824181,delta20minus10
Nfu_g_1_009142,0.05288326777475646,0.0010608738324826828,0.036175344929551684,w20
Nfu_g_1_005373,0.05268308952454741,0.012195621551011672,0.03814876439546352,w20
Nfu_g_1_007672,0.05260818903046444,0.014114871321618186,0.03762947296122868,w20
Nfu_g_1_013039,0.05260210229664798,0.00992794098025159,0.03830752520859075,w20
Nfu_g_1_018606,0.05250319808292287,0.036298234850046886,0.03994730983435315,w20
Nfu_g_1_007943,0.05238412796698782,0.027867418465711377,0.03563277979595219,delta20minus10
Nfu_g_1_006050,0.05237052235000448,0.034075299877110596,0.0362557215252348,w20
Nfu_g_1_011064,0.05233951199540922,0.025246908102975297,0.03551108481564126,delta20minus10
Nfu_g_1_003293,0.0521474192731902,0.019644568189205187,0.034973402745886985,w20
Nfu_g_1_009697,0.05210542438218467,0.02968310578544213,0.03371117018759935,delta20minus10
Nfu_g_1_015537,0.05207212048733464,0.0375461562281135,0.0346105641903945,delta20minus10
Nfu_g_1_004176,0.052055086290207615,0.007271883975856513,0.03605638956216331,w20
Nfu_g_1_008007,0.052054594441321024,0.031761043350115044,0.03337758196073062,delta20minus10
Nfu_g_1_022747,0.05202717251951914,0.02667341238876564,0.03779391937811694,w20
Nfu_g_1_003058,0.05194758338268613,0.00817825588240285,0.03609029732131458,delta20minus10
Nfu_g_1_021506,0.051928752771002694,0.013193812807780769,0.03860351326191502,w20
Nfu_g_1_021184,0.05190772783166903,0.03069266129370842,0.0325115087132878,delta20minus10
Nfu_g_1_023057,0.05186228067034003,0.02808462344121053,0.03540251123035685,delta20minus10
Nfu_g_1_009541,0.051840262238462505,0.011095931695988775,0.03595985960412663,delta20minus10
Nfu_g_1_020760,0.051737058391000235,0.03235672603159772,0.03441834013758677,delta20minus10
Nfu_g_1_020628,0.051720643330860974,0.018968076031979093,0.03613882559734147,delta20minus10
