probe_id,loading,abs_loading,gene_title,gene_symbol,gene_id,go_process,go_function
207075_PM_at,-0.04939509377420466,0.04939509377420466,NLR family pyrin domain containing 3,NLRP3,114548,"NLRP3 inflammasome complex assembly///activation of cysteine-type endopeptidase activity involved in apoptotic process///apoptotic process///cellular response to lipopolysaccharide///defense response///defense response to virus///detection of biotic stimulus///inflammatory response///innate immune response///interleukin-1 beta production///interleukin-1 secretion///interleukin-18 production///negative regulation of NF-kappaB import into nucleus///negative regulation of NF-kappaB transcription factor activity///negative regulation of acute inflammatory response///negative regulation of inflammatory response///negative regulation of interleukin-1 beta secretion///positive regulation of NF-kappaB transcription factor activity///positive regulation of T-helper 17 cell differentiation///positive regulation of T-helper 2 cell cytokine production///positive regulation of T-helper 2 cell differentiation///positive regulation of cysteine-type endopeptidase activity involved in apoptotic process///positive regulation of interleukin-1 beta secretion///positive regulation of interleukin-13 production///positive regulation of interleukin-4 production///positive regulation of interleukin-5 production///positive regulation of transcription from RNA polymerase II promoter///positive regulation of type 2 immune response///protein oligomerization///signal transduction///transcription, DNA-templated",ATP binding///peptidoglycan binding///protein binding///sequence-specific DNA binding///transcription factor binding
202014_PM_at,-0.04936819618738255,0.04936819618738255,protein phosphatase 1 regulatory subunit 15A,PPP1R15A,23645,aging///apoptotic process///cell cycle arrest///cellular response to DNA damage stimulus///cellular response to UV///cellular response to antibiotic///cellular response to calcium ion starvation///cellular response to carbohydrate stimulus///cellular response to cordycepin///cellular response to desipramine///cellular response to drug///cellular response to gold(3+)///cellular response to methamphetamine hydrochloride///cellular response to methyl methanesulfonate///cellular response to oxygen-glucose deprivation///endoplasmic reticulum unfolded protein response///intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress///negative regulation of PERK-mediated unfolded protein response///negative regulation of cell death///negative regulation of cell proliferation///negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation///negative regulation of peptidyl-threonine phosphorylation///negative regulation of phosphoprotein phosphatase activity///negative regulation of protein dephosphorylation///negative regulation of protein processing///negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress///peptidyl-serine dephosphorylation///positive regulation of apoptotic process///positive regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation///positive regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation///positive regulation of peptidyl-serine dephosphorylation///positive regulation of phosphoprotein phosphatase activity///positive regulation of protein phosphorylation///positive regulation of translational initiation in response to stress///protein localization to endoplasmic reticulum///regulation of angiogenesis///regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation///regulation of translational initiation by eIF2 alpha dephosphorylation///response to cocaine///response to endoplasmic reticulum stress///response to environmental enrichment///response to immobilization stress,protein binding///protein kinase binding///protein phosphatase 1 binding///protein phosphatase 1 binding///protein phosphatase type 1 activator activity///protein phosphatase type 1 regulator activity
213038_PM_at,-0.04934852166312012,0.04934852166312012,ring finger protein 19B,RNF19B,127544,adaptive immune response///positive regulation of proteasomal ubiquitin-dependent protein catabolic process///protein polyubiquitination///protein polyubiquitination///protein ubiquitination involved in ubiquitin-dependent protein catabolic process,ligase activity///protein binding///ubiquitin conjugating enzyme binding///ubiquitin protein ligase activity///ubiquitin-protein transferase activity///ubiquitin-protein transferase activity///zinc ion binding
39402_PM_at,-0.04920514416867036,0.04920514416867036,interleukin 1 beta,IL1B,3553,"MAPK cascade///activation of MAPK activity///aging///apoptotic process///cell-cell signaling///cellular response to antibiotic///cellular response to drug///cellular response to fatty acid///cellular response to glucose stimulus///cellular response to mechanical stimulus///cellular response to methotrexate///cellular response to organic cyclic compound///cellular response to organic substance///chronic inflammatory response to antigenic stimulus///cytokine-mediated signaling pathway///ectopic germ cell programmed cell death///embryo implantation///estrogen metabolic process///extrinsic apoptotic signaling pathway in absence of ligand///fever generation///glycoprotein metabolic process///hyaluronan biosynthetic process///inflammatory response///inflammatory response///interleukin-1 beta production///lipopolysaccharide-mediated signaling pathway///memory///monocyte aggregation///negative regulation of MAP kinase activity///negative regulation of adiponectin secretion///negative regulation of branching morphogenesis of a nerve///negative regulation of cell proliferation///negative regulation of extrinsic apoptotic signaling pathway in absence of ligand///negative regulation of glucose transport///negative regulation of glutamate secretion///negative regulation of insulin receptor signaling pathway///negative regulation of lipid catabolic process///negative regulation of lipid metabolic process///negative regulation of neural precursor cell proliferation///negative regulation of neuron differentiation///negative regulation of transcription from RNA polymerase II promoter///neutrophil chemotaxis///ovulation///pentacyclic triterpenoid metabolic process///polyketide metabolic process///positive regulation of ERK1 and ERK2 cascade///positive regulation of JNK cascade///positive regulation of JUN kinase activity///positive regulation of NF-kappaB import into nucleus///positive regulation of NF-kappaB transcription factor activity///positive regulation of T cell mediated immunity///positive regulation of T cell proliferation///positive regulation of angiogenesis///positive regulation of apoptotic process///positive regulation of astrocyte differentiation///positive regulation of calcidiol 1-monooxygenase activity///positive regulation of cell adhesion molecule production///positive regulation of cell division///positive regulation of chemokine biosynthetic process///positive regulation of cytosolic calcium ion concentration///positive regulation of fever generation///positive regulation of gene expression///positive regulation of granulocyte macrophage colony-stimulating factor production///positive regulation of heterotypic cell-cell adhesion///positive regulation of heterotypic cell-cell adhesion///positive regulation of histone acetylation///positive regulation of histone phosphorylation///positive regulation of immature T cell proliferation in thymus///positive regulation of interferon-gamma production///positive regulation of interleukin-2 biosynthetic process///positive regulation of interleukin-6 biosynthetic process///positive regulation of interleukin-6 production///positive regulation of interleukin-6 secretion///positive regulation of interleukin-8 production///positive regulation of lipid catabolic process///positive regulation of membrane protein ectodomain proteolysis///positive regulation of mitotic nuclear division///positive regulation of monocyte chemotactic protein-1 production///positive regulation of myosin light chain kinase activity///positive regulation of neutrophil chemotaxis///positive regulation of nitric oxide biosynthetic process///positive regulation of phagocytosis///positive regulation of prostaglandin secretion///positive regulation of protein export from nucleus///positive regulation of protein phosphorylation///positive regulation of protein phosphorylation///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of transcription from RNA polymerase II promoter///positive regulation of transcription, DNA-templated///positive regulation of vascular endothelial growth factor production///positive regulation of vascular endothelial growth factor production///positive regulation of vascular endothelial growth factor receptor signaling pathway///protein kinase B signaling///purine nucleobase metabolic process///regulation of I-kappaB kinase/NF-kappaB signaling///regulation of establishment of endothelial barrier///regulation of insulin secretion///regulation of nitric-oxide synthase activity///response to ATP///response to L-ascorbic acid///response to dexamethasone///response to diuretic///response to estradiol///response to ethanol///response to gamma radiation///response to heat///response to hypoxia///response to morphine///response to ozone///response to peptide hormone///response to statin///response to stilbenoid///response to vitamin D///sequestering of triglyceride///signal transduction///smooth muscle adaptation///social behavior///wound healing",cytokine activity///cytokine activity///interleukin-1 receptor binding///interleukin-1 receptor binding///protein domain specific binding
201631_PM_s_at,-0.04918585488778759,0.04918585488778759,immediate early response 3,IER3,8870,anatomical structure morphogenesis///apoptotic process///negative regulation of apoptotic process///regulation of phosphatidylinositol 3-kinase signaling///regulation of response to DNA damage stimulus,protein binding
214211_PM_at,-0.04906247458521202,0.04906247458521202,ferritin heavy chain 1,FTH1,2495,cellular iron ion homeostasis///immune response///intracellular sequestering of iron ion///iron ion transport///negative regulation of cell proliferation///negative regulation of fibroblast proliferation///oxidation-reduction process,ferric iron binding///ferroxidase activity///iron ion binding///protein binding
223887_PM_at,-0.04889835210590475,0.04889835210590475,G protein-coupled receptor 132,GPR132,29933,G-protein coupled receptor signaling pathway///G1/S transition of mitotic cell cycle///negative regulation of G2/M transition of mitotic cell cycle,G-protein coupled receptor activity
36564_PM_at,-0.04882990147422284,0.04882990147422284,ring finger protein 19B,RNF19B,127544,adaptive immune response///positive regulation of proteasomal ubiquitin-dependent protein catabolic process///protein polyubiquitination///protein polyubiquitination///protein ubiquitination involved in ubiquitin-dependent protein catabolic process,ligase activity///protein binding///ubiquitin conjugating enzyme binding///ubiquitin protein ligase activity///ubiquitin-protein transferase activity///ubiquitin-protein transferase activity///zinc ion binding
215078_PM_at,-0.04872110322493654,0.04872110322493654,"superoxide dismutase 2, mitochondrial",SOD2,6648,age-dependent response to reactive oxygen species///negative regulation of cell proliferation///negative regulation of neuron apoptotic process///negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway///oxidation-reduction process///oxygen homeostasis///protein homotetramerization///regulation of blood pressure///regulation of transcription from RNA polymerase II promoter///release of cytochrome c from mitochondria///removal of superoxide radicals///response to reactive oxygen species///response to superoxide///superoxide metabolic process///vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure,identical protein binding///manganese ion binding///manganese ion binding///superoxide dismutase activity///superoxide dismutase activity
221477_PM_s_at,-0.04869498570382168,0.04869498570382168,"superoxide dismutase 2, mitochondrial",SOD2,6648,age-dependent response to reactive oxygen species///negative regulation of cell proliferation///negative regulation of neuron apoptotic process///negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway///oxidation-reduction process///oxygen homeostasis///protein homotetramerization///regulation of blood pressure///regulation of transcription from RNA polymerase II promoter///release of cytochrome c from mitochondria///removal of superoxide radicals///response to reactive oxygen species///response to superoxide///superoxide metabolic process///vasodilation by acetylcholine involved in regulation of systemic arterial blood pressure,identical protein binding///manganese ion binding///manganese ion binding///superoxide dismutase activity///superoxide dismutase activity
