component,mean_young,mean_elderly,elderly_minus_young,cohen_d_elderly_vs_young,age_group_p,adjusted_age_group_p,cohort_p_in_adjusted_model,age_group_fdr,adjusted_age_group_fdr
PC1,0.68842436093337,-0.5205159802179077,-1.2089403411512776,-0.027935152955380474,0.9069028731635856,0.8711272853127293,1.2047216673179107e-11,0.9069028731635856,0.8711272853127293
PC2,-16.368862205743415,12.376456789708449,28.745318995451864,0.9241796187895611,2.311780662426176e-4,7.913353575379016e-5,4.688874217852755e-4,0.0011558903312130881,3.956676787689508e-4
PC3,-2.0535483456417345,1.5526828954852203,3.606231241126955,0.1854299608020064,0.438553922552652,0.4279057183304583,0.958510616029993,0.73092320425442,0.7131761972174305
PC4,1.3249293028950053,-1.0017758143840325,-2.3267051172790376,-0.12574859384410958,0.5989376863788227,0.60128534818108,0.6570467018649261,0.7486721079735283,0.7516066852263501
PC5,2.8349306791707454,-2.143484172055936,-4.978414851226681,-0.299003988450081,0.21319408032220097,0.2181438137206628,0.5926109130657087,0.5329852008055024,0.545359534301657
