category,top_hits,top_n,background_hits,background_n,odds_ratio,p_value,fdr
inflammatory/innate immune terms,41,100,483,2000,2.2911701952574144,1.6219601076486017e-4,6.487840430594407e-4
oxidative-stress terms,8,100,67,2000,2.7113500462566633,0.016568477354892305,0.022091303139856404
lipid/sterol terms,13,100,118,2000,2.5527117063401623,0.0067295712254103225,0.013459142450820645
antigen-presentation terms,3,100,43,2000,1.4378234069929263,0.47269566896640575,0.47269566896640575
