gene_id,top50_count,top50_frequency,loading_comp1_rss,loading_comp2_rss,loading_max,top_time_feature
Nfu_g_1_010933,142,0.9466666666666667,0.062290423338045756,0.00996165450622897,0.040083417280602024,delta20minus10
Nfu_g_1_007097,141,0.94,0.06258668257172834,0.028766397784312305,0.041063847922702526,w20
Nfu_g_1_001084,137,0.9133333333333333,0.06141161708157188,0.020629571056249935,0.04103417012756053,delta20minus10
Nfu_g_1_022498,133,0.8866666666666667,0.06119617821804049,0.023916320747053965,0.04155003950941203,w20
Nfu_g_1_017712,120,0.8,0.06046616333364681,0.03232704503734366,0.03900787712822469,w20
Nfu_g_1_010960,119,0.7933333333333333,0.06042730747041618,0.03209978454296127,0.04027090670820762,w20
Nfu_g_1_016218,119,0.7933333333333333,0.06040955411915666,0.0256901624590757,0.03987770467560436,w20
Nfu_g_1_013298,114,0.76,0.058548657165359556,0.011043709415593836,0.04085276057815336,w20
Nfu_g_1_023149,110,0.7333333333333333,0.05846092408771126,0.009842258483965242,0.04026870972741024,w20
Nfu_g_1_013138,108,0.72,0.05796196134215562,0.0178134681468319,0.0374822473604866,delta20minus10
Nfu_g_1_024261,106,0.7066666666666667,0.05755626272308052,0.030493238021751693,0.04207895862462919,w20
Nfu_g_1_021978,105,0.7,0.05831442780545994,0.02346134590657983,0.03996924678459864,w20
Nfu_g_1_023527,105,0.7,0.05796572888022216,0.03319544808488957,0.0372237309043485,delta20minus10
Nfu_g_1_018490,103,0.6866666666666666,0.0576845490319041,0.010205112665808591,0.04030258877788551,w20
Nfu_g_1_000487,102,0.68,0.05858547561072137,0.03901998691263694,0.03960001341888287,w20
Nfu_g_1_010177,102,0.68,0.05789152598291691,0.023399800009604604,0.03662586321128699,delta20minus10
Nfu_g_1_006434,101,0.6733333333333333,0.058153460029757874,0.04676037937499537,0.04156173282028322,w20
Nfu_g_1_001056,98,0.6533333333333333,0.05712778693789893,0.017712100640871458,0.03694617974839664,delta20minus10
Nfu_g_1_000583,97,0.6466666666666666,0.058210759777133685,0.01638475149603538,0.03937253432719417,w20
Nfu_g_1_006328,94,0.6266666666666667,0.05662998673963511,0.04089104961863602,0.03982873287873862,w20
Nfu_g_1_007248,94,0.6266666666666667,0.05743054351681025,0.022039945085571864,0.04069546804599079,w20
Nfu_g_1_016971,94,0.6266666666666667,0.05659868682821167,0.02576325064457532,0.03690216692744247,delta20minus10
