"term","estimate","std_error","statistic","p_value"
"(Intercept)",306.513274336283,6.04527820149127,50.7029228631151,4.08662896211785e-78
"Comp1",-5.22405991313548,0.540945358822847,-9.65727837004384,2.38977203461132e-16
"Comp2",-4.1715982605372,0.822228746913768,-5.07352519137196,1.59810005371036e-06
