"FishID","Group","AgeDeathDays","Comp1","Comp2"
"FC1","long_lived",382,-2.64439938624789,4.74826352630855
"FC10","short_lived",272,-4.46764503630328,0.288371084837013
"FC100","long_lived",441,-7.77364520992585,-10.0309699484843
"FC101","long_lived",428,-4.47036455032082,-8.28243746747183
"FC103","short_lived",209,-3.20449445820282,-4.80024738344545
"FC104","short_lived",151,5.95529616691361,-5.90152910249947
"FC105","short_lived",165,-3.58227302563314,3.86948880489019
"FC106","long_lived",312,-16.5978100078536,8.07837023264749
"FC107","long_lived",359,-14.5386625599196,6.86340883017781
"FC108","short_lived",206,-14.6899386735003,10.3035071713086
"FC109","long_lived",458,-21.6170801002074,-1.90577854116859
"FC11","long_lived",400,-0.00422407437492859,-13.3509379294942
"FC110","long_lived",409,-14.2979872057404,13.7930398679472
"FC111","long_lived",418,-14.7596234279363,-0.911489803863405
"FC112","short_lived",207,-4.93098004172785,9.3761319100478
"FC113","long_lived",371,-15.1314280781813,0.0268813260362971
"FC114","long_lived",521,-17.1364770906558,4.22291418335483
"FC115","long_lived",333,-16.0942174761051,8.84271162031886
"FC116","long_lived",450,-11.6916877131465,10.7173982937915
"FC12","long_lived",384,1.81047554023127,-19.0224898880579
"FC13","long_lived",392,6.69443833027181,-19.0147215714462
"FC14","long_lived",382,-7.92492122100436,8.19819890004394
"FC15","short_lived",282,-7.9833431244619,15.8246739710217
"FC16","short_lived",294,-9.94896733420686,16.9636682414298
"FC17","long_lived",404,-6.78081448024471,14.512146686034
"FC18","long_lived",312,-6.37374301652934,-2.41909698371805
"FC19","short_lived",259,-6.76983572169398,10.2292988094047
"FC2","short_lived",310,12.0195801036507,-0.9597833921702
"FC21","long_lived",374,-8.07264398619823,3.00592175442855
"FC23","long_lived",375,-9.93357648145319,-1.05305955801533
"FC24","long_lived",367,-9.33364194489097,-8.99072803249026
"FC25","long_lived",324,-8.81964718105573,-5.97269241787841
"FC26","long_lived",379,-6.07604750601229,-8.16695708174868
"FC27","long_lived",313,1.52192292570644,-4.91279520182798
"FC28","short_lived",221,-6.69583394404085,3.20918981886004
"FC29","long_lived",322,-0.307607669390434,-7.36337427728642
"FC3","short_lived",181,7.69293222417812,1.16552399846947
"FC30","short_lived",309,-5.83674779531291,3.14144324286082
"FC31","short_lived",303,-4.87698939740739,1.18939363478908
"FC32","short_lived",302,0.51866004143447,0.816150389697078
"FC33","short_lived",304,-4.03912465246863,0.608727224974885
"FC34","short_lived",145,16.4420694222174,-8.46719721561842
"FC35","long_lived",315,-13.7972825033831,-3.02019475371827
"FC36","long_lived",312,1.22146779608743,-4.98858076785786
"FC37","short_lived",182,5.32731608942012,0.703855338609303
"FC38","short_lived",263,4.24089537050255,-2.48101213162991
"FC39","short_lived",242,4.51484187534358,-1.22802074119658
"FC4","long_lived",405,-8.35664453864579,-4.59823562506007
"FC40","short_lived",188,8.99790118535362,-7.13037104025861
"FC41","short_lived",298,-0.353160623562453,3.69765937115607
"FC42","short_lived",284,-4.63695102208077,0.115575131584147
"FC43","long_lived",387,-1.54672926329794,-3.7429519521126
"FC44","short_lived",310,5.48734456405714,9.35847251508343
"FC45","long_lived",357,-7.07948635315164,6.73522938145198
"FC46","long_lived",364,-9.11285303621971,-4.69373948776193
"FC47","short_lived",303,6.33228380568492,4.70752141455461
"FC48","short_lived",302,1.90171786044376,8.96925388057343
"FC49","short_lived",264,-1.04256812079276,4.63414198477405
"FC5","short_lived",288,-6.83004583430389,8.01518637793954
"FC50","long_lived",356,-0.231430030939157,-1.53285311754999
"FC51","long_lived",322,10.3897024158063,-4.911129378488
"FC52","short_lived",162,13.7408633007974,-1.74998715801955
"FC53","short_lived",216,11.8860453525788,0.78727049530998
"FC54","long_lived",385,10.0847980424721,-0.946335242322329
"FC55","short_lived",199,28.6319717831784,-0.885786612702295
"FC56","short_lived",167,20.1834287639474,2.71203968529411
"FC57","short_lived",272,13.6056324827055,-1.67063520357072
"FC58","short_lived",191,15.1451780242891,-3.38059321245677
"FC59","short_lived",279,18.4485650070036,-6.65756708775612
"FC6","long_lived",379,-9.16190974819945,0.877455142037248
"FC60","short_lived",206,18.6223199646341,-1.53391638649018
"FC61","short_lived",185,19.458675815471,6.84482959164866
"FC62","short_lived",190,19.9526232820879,0.522506202761925
"FC63","short_lived",285,11.3241023343687,-2.55228475615139
"FC64","short_lived",266,19.3571058170312,4.88313917838522
"FC65","short_lived",254,19.3902902272423,-0.260434444916631
"FC66","short_lived",196,8.10630338318847,2.0354359962556
"FC67","short_lived",193,7.20136000774421,7.17172045422457
"FC68","long_lived",328,9.49314749408335,-5.27883362448896
"FC69","short_lived",201,19.7400965368003,4.63008974947039
"FC7","long_lived",370,-12.5187117195236,8.1094695550244
"FC70","short_lived",262,14.5542263994512,0.977212683784638
"FC71","short_lived",176,19.9723444779572,-0.154065842359437
"FC72","short_lived",258,7.16049035615779,5.75187594467299
"FC73","short_lived",178,9.38179452687793,0.215267900722483
"FC74","short_lived",167,24.055526010572,2.25770001038078
"FC75","long_lived",392,4.68798517854786,-5.67304943200663
"FC76","short_lived",280,0.339097918431717,-3.60851921882093
"FC77","short_lived",143,13.5527393107067,5.55093658295417
"FC78","short_lived",279,9.69363740194001,3.45937323530654
"FC79","short_lived",193,6.89068092074506,7.27256989866811
"FC8","long_lived",382,-13.0445291440336,1.058357395828
"FC80","long_lived",375,10.5823015495931,3.94763566624478
"FC81","long_lived",321,13.2647049503013,5.79440527661917
"FC82","short_lived",158,9.70192523865437,13.9129594245392
"FC83","short_lived",283,8.03235083039224,-1.52221417198883
"FC84","short_lived",218,-0.111629623331413,13.3409256032695
"FC85","long_lived",485,-13.8631908515774,-10.2565325786005
"FC86","long_lived",451,-15.1718634505233,-13.5753696001516
"FC87","short_lived",294,-11.7100345927053,0.246038002210962
"FC88","long_lived",443,-14.5100375867974,-15.0906526769505
"FC89","long_lived",425,-8.34904542718463,-7.58300745210846
"FC9","short_lived",146,-6.8485367421524,17.4565648681031
"FC90","short_lived",310,-9.96203795003989,-7.02132087782109
"FC91","long_lived",434,-14.3902043903348,-6.28446855942365
"FC92","long_lived",311,-8.75382901673682,-9.89025503269693
"FC93","long_lived",340,-12.7940005278888,-9.83771777839225
"FC94","long_lived",443,-9.86802368627476,-8.61230257070998
"FC95","long_lived",347,-1.73391519086735,-7.09667906858387
"FC96","long_lived",425,-6.63422944269593,-2.39681579758588
"FC97","long_lived",453,-6.25571442672291,-7.03033466844439
"FC98","long_lived",379,-2.35485592627472,-11.3809146447707
"FC99","long_lived",489,-8.88128406465882,-4.96352897051371
