probe_id,loading,abs_loading
233908_PM_x_at,0.042046790289902575,0.042046790289902575
215187_PM_at,0.04198199883437929,0.04198199883437929
1570444_PM_at,0.041796534562079,0.041796534562079
1569543_PM_at,0.04172187903587698,0.04172187903587698
1567076_PM_at,0.04171295439771768,0.04171295439771768
206634_PM_at,0.041671704906928,0.041671704906928
240476_PM_at,0.04159332757424942,0.04159332757424942
216625_PM_at,0.04159053427567872,0.04159053427567872
1568925_PM_at,0.041480980174978026,0.041480980174978026
204654_PM_s_at,0.04147465346499333,0.04147465346499333
206815_PM_at,0.041443194506681456,0.041443194506681456
223895_PM_s_at,0.04140968505386356,0.04140968505386356
58994_PM_at,0.04140659947422086,0.04140659947422086
234756_PM_at,0.041371625256492024,0.041371625256492024
1554413_PM_s_at,0.04128450456390586,0.04128450456390586
234794_PM_at,0.041243811664005925,0.041243811664005925
1569904_PM_x_at,0.04122738264085053,0.04122738264085053
1566094_PM_at,0.0412257323038071,0.0412257323038071
230543_PM_at,0.04113950275613625,0.04113950275613625
217067_PM_s_at,0.04113410319251779,0.04113410319251779
241320_PM_at,0.041126126451515845,0.041126126451515845
1562628_PM_at,0.04102458160261277,0.04102458160261277
216844_PM_at,0.041013726348886025,0.041013726348886025
1560209_PM_at,0.04100813783952972,0.04100813783952972
216929_PM_x_at,0.04100170014560458,0.04100170014560458
65133_PM_i_at,0.04096008420815613,0.04096008420815613
1560540_PM_x_at,0.04090754448021175,0.04090754448021175
1553864_PM_at,0.04088443875662677,0.04088443875662677
211909_PM_x_at,0.040875906036609316,0.040875906036609316
1567056_PM_at,0.04084307101207824,0.04084307101207824
