probe_id,loading,abs_loading
201531_PM_at,-0.050340917712934946,0.050340917712934946
216841_PM_s_at,-0.05020166807777602,0.05020166807777602
202638_PM_s_at,-0.050195138502834115,0.050195138502834115
218810_PM_at,-0.0499786794761926,0.0499786794761926
202924_PM_s_at,-0.04996634259211308,0.04996634259211308
202637_PM_s_at,-0.049842514142812995,0.049842514142812995
241889_PM_at,-0.049809263539845904,0.049809263539845904
37028_PM_at,-0.04966966925378096,0.04966966925378096
205067_PM_at,-0.04964285966390073,0.04964285966390073
220091_PM_at,-0.049603720145761074,0.049603720145761074
207075_PM_at,-0.04939509377420466,0.04939509377420466
202014_PM_at,-0.04936819618738255,0.04936819618738255
213038_PM_at,-0.04934852166312012,0.04934852166312012
39402_PM_at,-0.04920514416867036,0.04920514416867036
201631_PM_s_at,-0.04918585488778759,0.04918585488778759
214211_PM_at,-0.04906247458521202,0.04906247458521202
223887_PM_at,-0.048898352105904756,0.048898352105904756
36564_PM_at,-0.04882990147422284,0.04882990147422284
215078_PM_at,-0.04872110322493654,0.04872110322493654
221477_PM_s_at,-0.04869498570382168,0.04869498570382168
1556072_PM_at,-0.048644580819234375,0.048644580819234375
225582_PM_at,-0.048612100478784406,0.048612100478784406
204958_PM_at,-0.048602513159235444,0.048602513159235444
201502_PM_s_at,-0.04860234070863356,0.04860234070863356
203045_PM_at,-0.04858620945314492,0.04858620945314492
209305_PM_s_at,-0.0482945150153908,0.0482945150153908
205114_PM_s_at,-0.04828221477005366,0.04828221477005366
230052_PM_s_at,-0.0482350902831355,0.0482350902831355
203471_PM_s_at,-0.04814545035700906,0.04814545035700906
215223_PM_s_at,-0.04814408057425218,0.04814408057425218
