gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
CSNK1E,-0.0020572343864149003,0.02765119160073304,0.0020572343864149003,0.02765119160073304,FALSE,FALSE
TMEM27,-0.002041776475441607,-0.009195490721456572,0.002041776475441607,0.009195490721456572,FALSE,FALSE
CDC37L1,-0.0020395426666739006,0.0333447391737763,0.0020395426666739006,0.0333447391737763,FALSE,FALSE
PPP2R2C,-0.0020394365877608356,-0.012509812737968085,0.0020394365877608356,0.012509812737968085,FALSE,FALSE
LOC100130428,0.002038863238915771,0.022805174597286215,0.002038863238915771,0.022805174597286215,FALSE,FALSE
MED8,0.002029216836472832,-0.00730246844484329,0.002029216836472832,0.00730246844484329,FALSE,FALSE
NRGN,-0.0020247864368675003,0.015153340811592171,0.0020247864368675003,0.015153340811592171,FALSE,FALSE
ZC3H12A,-0.0020227984262741554,0.02222128155868837,0.0020227984262741554,0.02222128155868837,FALSE,FALSE
MCOLN2,0.0020163260361626295,0.02783884597252567,0.0020163260361626295,0.02783884597252567,FALSE,FALSE
SPIN4,0.002010257716388766,0.0065402108661793724,0.002010257716388766,0.0065402108661793724,FALSE,FALSE
ERCC4,-0.0020079527754170083,-0.003535552497291083,0.0020079527754170083,0.003535552497291083,FALSE,FALSE
