outcome,outcome_column,n_subjects,n_features,n_time_points,comp1_r,comp1_p,comp2_r,comp2_p,permutation_p,tpls_cv_r,tpls_cv_r2,matrix_pls_cv_r,matrix_pls_cv_r2,top_comp1_gene_1,top_comp1_gene_2,top_comp1_gene_3
IgG_D30_0,D30/0_IgG,70,5012,3,0.6345427197816094,3.670900846582967e-9,0.5084133549813838,7.009139996249404e-6,0.23,-0.1733930644282394,-0.47112646117029633,-0.10195807553112175,-0.33387595105763257,FAM22B,LAMA2,CBLN3
TFH_CXCR3pos_D7_0,D7/0_TFH.CXCR3pos,34,5012,3,0.701385290280835,3.821869430857286e-6,0.5679431553065375,4.5906619184960565e-4,0.4,-0.1059768119879438,-0.4006307675745284,0.01545184519719295,-0.2499788873356379,PI3,HEY1,TTTY10
