gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
FAM22B,0.05195863517496393,0.021401130348837297,0.05195863517496393,0.021401130348837297,FALSE,FALSE
LAMA2,-0.048987401827990176,-0.023370420521919493,0.048987401827990176,0.023370420521919493,FALSE,FALSE
CBLN3,0.04671046195457671,0.018563889636898406,0.04671046195457671,0.018563889636898406,FALSE,FALSE
CCNJL,-0.045401687221678234,0.003907390103056849,0.045401687221678234,0.003907390103056849,FALSE,FALSE
SAMD12,-0.0450458719054635,-0.03760730089702285,0.0450458719054635,0.03760730089702285,FALSE,FALSE
GSG2,0.04504353387215486,0.01769468475113262,0.04504353387215486,0.01769468475113262,FALSE,FALSE
C1QB,0.04475898909975031,0.0046301261514325835,0.04475898909975031,0.0046301261514325835,FALSE,FALSE
TRIML1,0.04402384240651591,0.0078091198490761364,0.04402384240651591,0.0078091198490761364,FALSE,FALSE
ANO5,0.04392115060674036,0.004011292119654752,0.04392115060674036,0.004011292119654752,FALSE,FALSE
C9orf130,0.043218234678003904,0.005503633946588292,0.043218234678003904,0.005503633946588292,FALSE,FALSE
TMEM30B,-0.043169066613131156,0.011003742412711327,0.043169066613131156,0.011003742412711327,FALSE,FALSE
INPP4B,-0.042849454397150696,0.0022073738359740845,0.042849454397150696,0.0022073738359740845,FALSE,FALSE
C13orf15,-0.042349850443656634,0.008681720943857604,0.042349850443656634,0.008681720943857604,FALSE,FALSE
LOC100133287,-0.041534378419035504,-0.003049441023065586,0.041534378419035504,0.003049441023065586,FALSE,FALSE
C12orf73,0.041426132147124844,0.006500676998974416,0.041426132147124844,0.006500676998974416,FALSE,FALSE
GSTT1,0.04130138508777419,0.016250299982998605,0.04130138508777419,0.016250299982998605,FALSE,FALSE
PLA2G2F,0.04070295555881065,0.007408044238517089,0.04070295555881065,0.007408044238517089,FALSE,FALSE
C5orf49,0.04068696141449843,0.007016621167073087,0.04068696141449843,0.007016621167073087,FALSE,FALSE
ZNF823,-0.04057348993824605,-0.015829220248186747,0.04057348993824605,0.015829220248186747,FALSE,FALSE
EPHA4,-0.04054165630496766,0.003315196914719214,0.04054165630496766,0.003315196914719214,FALSE,FALSE
IL1R1,-0.040539786614777626,-0.0022333375099751196,0.040539786614777626,0.0022333375099751196,FALSE,FALSE
KIAA0509,0.04049539264548276,0.0083107331355483,0.04049539264548276,0.0083107331355483,FALSE,FALSE
MYOF,0.04017448387621727,-5.69031580537136e-4,0.04017448387621727,5.69031580537136e-4,FALSE,FALSE
NEO1,-0.04012140580848129,-0.01732178763017372,0.04012140580848129,0.01732178763017372,FALSE,FALSE
ANGPTL3,-0.04005956609536031,-0.032399086020809126,0.04005956609536031,0.032399086020809126,FALSE,FALSE
IPO11 /// LRRC70,-0.03996363314860706,0.004049794122818176,0.03996363314860706,0.004049794122818176,FALSE,FALSE
LOC100132147,0.03970393772647343,-8.348998643656515e-4,0.03970393772647343,8.348998643656515e-4,FALSE,FALSE
LRRC37A4,-0.039667977954571707,-8.671090326157689e-5,0.039667977954571707,8.671090326157689e-5,FALSE,FALSE
LAP3,0.039577417496375014,-0.0026980023065909264,0.039577417496375014,0.0026980023065909264,FALSE,FALSE
TTC12,-0.03890189146273331,-0.01548354060930397,0.03890189146273331,0.01548354060930397,FALSE,FALSE
