gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
IGF1R,-6.671655241496806e-4,0.039241015107793834,6.671655241496806e-4,0.039241015107793834,FALSE,FALSE
PA2G4 /// PA2G4P4,-0.015259768084848878,-0.0390714531291812,0.015259768084848878,0.0390714531291812,FALSE,FALSE
SCML1,0.001159182495962467,0.037830962416526774,0.001159182495962467,0.037830962416526774,FALSE,FALSE
SAMD12,-0.0450458719054635,-0.03760730089702285,0.0450458719054635,0.03760730089702285,FALSE,FALSE
TLE1,0.004212343888480521,0.03537415805932266,0.004212343888480521,0.03537415805932266,FALSE,FALSE
TMSB15B,0.010842764262161452,0.035046204860505685,0.010842764262161452,0.035046204860505685,FALSE,FALSE
NEDD4L,0.03690947953400135,0.035041640868431805,0.03690947953400135,0.035041640868431805,FALSE,FALSE
ZBTB5,0.0011582858775752748,0.03474457079283685,0.0011582858775752748,0.03474457079283685,FALSE,FALSE
DCTN6,0.006055919202288421,0.034465713478198795,0.006055919202288421,0.034465713478198795,FALSE,FALSE
PBX4,0.002857641248288741,0.03443543006961383,0.002857641248288741,0.03443543006961383,FALSE,FALSE
TMEM183A,0.011459455947014339,0.03424090162196538,0.011459455947014339,0.03424090162196538,FALSE,FALSE
ZNF324,0.01778039224840043,0.0339944013492111,0.01778039224840043,0.0339944013492111,FALSE,FALSE
ZBED4,0.008987590489759677,0.033970705872474104,0.008987590489759677,0.033970705872474104,FALSE,FALSE
UBASH3B,0.004588375786223377,0.03395444718372885,0.004588375786223377,0.03395444718372885,FALSE,FALSE
REM2,-0.002768460538034679,0.03380516256896211,0.002768460538034679,0.03380516256896211,FALSE,FALSE
C9orf156,-0.008192449408732818,0.033739128052025606,0.008192449408732818,0.033739128052025606,FALSE,FALSE
ADNP2,-0.004586411373789424,0.03372992441500733,0.004586411373789424,0.03372992441500733,FALSE,FALSE
SFXN1,-0.020102508937083083,0.03361438872263208,0.020102508937083083,0.03361438872263208,FALSE,FALSE
CDC37L1,-0.0020395426666739006,0.0333447391737763,0.0020395426666739006,0.0333447391737763,FALSE,FALSE
LOC84989,-0.023476053732002948,-0.03318970353279135,0.023476053732002948,0.03318970353279135,FALSE,FALSE
TXK,-0.005752532089805771,0.03315550423939931,0.005752532089805771,0.03315550423939931,FALSE,FALSE
FRG1B,0.018960938853541,0.03313320742274325,0.018960938853541,0.03313320742274325,FALSE,FALSE
LOC282997,-0.013008601166012298,0.033111989119318314,0.013008601166012298,0.033111989119318314,FALSE,FALSE
GPRASP1,-0.019922586859832402,0.033055169097869784,0.019922586859832402,0.033055169097869784,FALSE,FALSE
NAP1L3,0.018682905400494783,0.032894576129514165,0.018682905400494783,0.032894576129514165,FALSE,FALSE
PYGB,0.018438688020060184,0.03285347185372675,0.018438688020060184,0.03285347185372675,FALSE,FALSE
SNX9,-0.016658154782007245,0.032764220572282315,0.016658154782007245,0.032764220572282315,FALSE,FALSE
FKBP11,0.01911702782828299,0.03262790318790845,0.01911702782828299,0.03262790318790845,FALSE,FALSE
ANGPTL3,-0.04005956609536031,-0.032399086020809126,0.04005956609536031,0.032399086020809126,FALSE,FALSE
ADAT2,0.006065267855532695,0.03221603258198493,0.006065267855532695,0.03221603258198493,FALSE,FALSE
